video_id,title,video_description,channel_title,publish_time,thumbnail_url,video_url,duration_minutes,formatted_duration
02StAZj5-ts,🏕 EP117- 'Campfire' easy acrylic painting tutorial for beginners - summertime camp fire painting,"It's almost officially summer and I have vacation on the brain! Who doesn't love sitting by a crackling fire in the great outdoors? This week we are capturing that campfire vibe in this simple acrylic painting tutorial. As always, this painting tutorial is designed for the beginning level acrylic painter. Make sure to subscribe for new painting tutorials posted every Saturday. Happy painting and happy Summer!  

LINK TO JOIN THE ART CLUB FACEBOOK GROUP: https://www.facebook.com/groups/paintalongwithskyeartclub 

COURSES: https://skyepratt.com/courses/

SHOP: https://skyepratt.com/shop/



MATERIALS NEEDED FOR TODAY'S PAINTING:

Full materials list is available here: https://skyepratt.com/materials/

The colors that you will need for today's tutorial are: 


Cadmium Yellow: https://amzn.to/2wKn1kK
Cadmium Orange: https://amzn.to/3GWSU9B
Cadmium Red: https://amzn.to/3cHJ23V
Thalo Green: https://amzn.to/2TIJFTs
Ultramarine Blue: https://amzn.to/2Ypn2oS
Titanium White: https://amzn.to/2TLri0p
Mars Black: https://amzn.to/2THaMy5 
Burnt Sienna: https://amzn.to/3O8ari2


I use this brush kit: https://amzn.to/3P72gmG



About Paint Along With Skye:

If you are new to acrylic painting, this is the place for you! I post a new video, always a step-by-step acrylic tutorial for beginners, every Saturday. So subscribe if you would like to learn how to paint with acrylics step-by-step! This video is designed for artists at home to be able to paint along with this real-time acrylic painting tutorial for beginners. It’s also a super fun idea to offer an in-home art party with all of your friends! Let me know what you thought of today's acrylic painting tutorial in the comments section. Free easy acrylic painting classes are offered every Saturday, right here, so make sure to subscribe! 

About the artist:

I've taught acrylic painting for beginners for almost 10 years on a freelance basis through a number of different studios. I also have been offering “pop-up” in-home paint parties for private groups. I LOVE teaching painting, and my favorite thing is when my students unlock a love or a knack for creative expression because of taking my classes. I started this Youtube show at the end of the year in 2019, with the hope of offering my “beautiful but do-able” paintings and step-by-step instructions with a worldwide audience. I hope you enjoyed today's step-by-step acrylic painting tutorial for beginners. Let me know what you thought of today's easy acrylic painting tutorial in the comments section! Check out the shop, stock up on art supplies, and until next time, stay creative! 


*note, some links above are affiliate links. Purchasing through these affiliate links does not raise the cost for the consumer.",Paint Along With Skye,2022-06-18T19:00:11Z,https://i.ytimg.com/vi/02StAZj5-ts/mqdefault.jpg,https://www.youtube.com/watch?v=02StAZj5-ts,31.25,31:15
nADEzlSG3cc,Moon painting/acrylic painting /floral painting,"Learn how to paint moon. Acrylic painting tutorial for beginners
I hope you enjoy watching my video. Don’t forget to subscribe and hit the like button.
Thank you for watching.
Have a good day ☺️




#acrylicpainting #moonpainting",easypeasy art,2023-01-01T07:05:43Z,https://i.ytimg.com/vi/nADEzlSG3cc/mqdefault.jpg,https://www.youtube.com/watch?v=nADEzlSG3cc,0.55,0:33
mpT6sjBBEQE,How To Paint Tree/ Easy Acrylic Painting Tutorial For Beginners #short,"Thank you for watching!
 Please like and subscribe my channel if you are inspired by my art.

BGM use Youtube audio library",Bright Art,2021-06-13T00:36:31Z,https://i.ytimg.com/vi/mpT6sjBBEQE/mqdefault.jpg,https://www.youtube.com/watch?v=mpT6sjBBEQE,0.73,0:44
8_QIBXrnsV0,Mountain painting/ acrylic painting / cloud painting #landscapepainting #acrylicpainting,"Learn how to paint mountain.
Easy acrylic painting tutorial for beginners.
Acrylic painting tutorial.
Landscape painting for beginners.
Acrylic painting 




I hope you enjoy watching my video.
Don’t forget to subscribe if you are new to channel.
Hit the bell so  you never miss my video.
Have a good day 😊

Canvas size  6x8 inch
Paint : mont marte acrylic paint 





#acrylicpainting #mountainpainting #landscapepainting",easypeasy art,2023-05-29T05:41:12Z,https://i.ytimg.com/vi/8_QIBXrnsV0/mqdefault.jpg,https://www.youtube.com/watch?v=8_QIBXrnsV0,0.48,0:29
hRQV6K4wsvo,Painting Tutorial EASY for Kids & Beginners / Acrylic Floral Bouquet,"❤️ Join FREE Art Class: 'Create Art You LOVE, without tutorials' 👉 https://www.onlinepaintinglessons.com/painting-with-confidence 

🌻 Want to paint LOOSE, Impressionistic Florals??...Now you can here: https://www.onlinepaintinglessons.com/flower-painting-bundle 🌻

Join me in today's painting tutorial, painting a peony & rose using acrylic paints. This easy painting tutorial is perfect for kids & beginners to help you learn some basic painting techniques. I will show you the basics of mixing colors, building layers, and adding impasto paint details. I hope you enjoy painting these florals with me 😊 



A massive thank you to Crayola for sponsoring this video and thank YOU all for your amazing support! 😁

☆ Crayola Acrylic Paint Set ↠ https://bit.ly/YTKJCrayola

☆ SUBSCRIBE HERE ↠ https://goo.gl/wY36Zn ☆

If you like my videos, join the community here and subscribe! 

☆ My Painting Tutorials ☆
https://goo.gl/1kK2bj

☆ Art Blog ☆
 http://www.katiejobling.com/

☆ Artwork for Sale ☆ 
https://www.katiejobling.etsy.com

☆Social Media☆
FB:  https://www.facebook.com/KatieLJobling
Insta: https://instagram.com/katiejoblingart/
Twitter: https://twitter.com/katiejoblingart",Katie Jobling Art,2018-10-22T18:28:16Z,https://i.ytimg.com/vi/hRQV6K4wsvo/mqdefault.jpg,https://www.youtube.com/watch?v=hRQV6K4wsvo,3.92,3:55
mOSB12IRXIo,Beautiful And AWESOME Flower Painting #Shorts Round Brush Acrylic Painting,Beautiful And AWESOME Flower Painting #Shorts Round Brush Acrylic Painting,RENJITHA ANOOP,2022-07-11T13:18:56Z,https://i.ytimg.com/vi/mOSB12IRXIo/mqdefault.jpg,https://www.youtube.com/watch?v=mOSB12IRXIo,0.52,0:31
9h6gT2v05Xg,PAINTING HACKS || Acrylic Painting #creativeart #satisfying,"►Visit to my channel :
 https://www.youtube.com/c/FarjanaDrawingAcademy

►For business inquiries: 
contactwithfarjana@gmail.com

► My Instagram Page Link -
https://www.instagram.com/farjana_drawing_academy_/

► Subscribe to my other channel ( Farjana's Craft ) :  https://www.youtube.com/channel/UClkR3AhuE2tTEKU0fboL0tw

About me:
If you're new, hi, my name's Farjana! 
On this channel I always try to show the easiest way of drawing and Painting. From here you can improve your drawing skills. Hope you enjoy my videos and find them helpful!!
If you like my videos, Don't forget to subscribe and hit the bell.
Thank You",Farjana Drawing Academy,2022-09-12T14:00:30Z,https://i.ytimg.com/vi/9h6gT2v05Xg/mqdefault.jpg,https://www.youtube.com/watch?v=9h6gT2v05Xg,0.72,0:43
TR6QmBCInTU,Acrylic Painting | YouTube short,,Jiya Aswani,2022-06-13T08:30:04Z,https://i.ytimg.com/vi/TR6QmBCInTU/mqdefault.jpg,https://www.youtube.com/watch?v=TR6QmBCInTU,0.27,0:16
vGm6fpRrgwQ,QUICK 🎨 TIP || How to Oil Paint Safely,"Oil paints aren’t as toxic as you think. 
It’s very easy to paint safely if you follow these steps!",Doris Rose Art,2022-04-22T20:00:26Z,https://i.ytimg.com/vi/vGm6fpRrgwQ/mqdefault.jpg,https://www.youtube.com/watch?v=vGm6fpRrgwQ,0.53,0:32
QXFi5nP6kvo,Easy Painting Technique || How to Paint Bubbles #acrylicpainting #CreativeArt #Satisfying,"►Visit to my channel :
 https://www.youtube.com/c/FarjanaDrawingAcademy

►For business inquiries: 
contactwithfarjana@gmail.com

► My Instagram Page Link -
https://www.instagram.com/farjana_drawing_academy_/

► Subscribe to my other channel ( Farjana's Craft ) :  https://www.youtube.com/channel/UClkR3AhuE2tTEKU0fboL0tw


About me:
If you're new, hi, my name's Farjana! 
On this channel I always try to show the easiest way of drawing and Painting. From here you can improve your drawing skills. Hope you enjoy my videos and find them helpful!!
If you like my videos, Don't forget to subscribe and hit the bell.
Thank You",Farjana Drawing Academy,2022-09-10T09:39:32Z,https://i.ytimg.com/vi/QXFi5nP6kvo/mqdefault.jpg,https://www.youtube.com/watch?v=QXFi5nP6kvo,0.62,0:37
vqNbSB_JTzU,Satisfying Acrylic Painting Tutorial For Beginners | Simple Forest Painting #shorts,"Hey everyone! I hope you all enjoy this satisfying forest acrylic painting tutorial! #acrylicpainting #painting #art #artasmr 

Follow me on instagram.com/noorahmad_art

Have a great day everyone! :)",AhmadArt,2022-10-30T16:33:41Z,https://i.ytimg.com/vi/vqNbSB_JTzU/mqdefault.jpg,https://www.youtube.com/watch?v=vqNbSB_JTzU,0.8,0:48
LFqd-jj1lQ8,Paint Like Bob Ross BUT With Acrylic Paint!,"Have you always wanted to paint like Bob Ross or Bill Alexander but want to use acrylic paints? With this step by step tutorial you can!

In this video, my friend Tally will show you a step by step guide on how to paint a simple landscape painting done all with acrylic paint. This video is perfect for any new artist or beginner out there struggling with landscape painting. We will show you how to paint sky, clouds, distant trees, and foreground. This is perhaps the best landscape tutorial out there. Enjoy!

📘 My Book: Mastering The Art Of Selling Art 📘
   🔷 Digital Version: https://payhip.com/WildCreates
   🔷 Physical Version: https://geni.us/WildArtBook

💠Follow TallyWho Art:
      https://www.instagram.com/tallywho_art/

⭐Wild's Oil Painting Supplies Packet ⭐
      Get It Here: https://payhip.com/b/qzxK1

#WildCreates
_________________________________________________________________

⭐ Painting Supplies Used In Video⭐

(Affiliate Links)

- Paints/Mediums Used:
   🔷 Golden Heavy Body Acrylics: https://geni.us/GoldenHeavyAcrylic
   🔷 Golden Open Thinner: https://geni.us/GoldenOpenThinner
   🔷 White Gesso: https://geni.us/GessoWhite

- Brushes/Tools Used:
   🔷 2 inch Brush: https://geni.us/BobRoss2inBrush
   🔷 Fan Brush: https://geni.us/BobRoss6FanBrush
   🔷 Filbert Brushes: https://geni.us/FilbertBrushes
   🔷 Dagger Brush: https://geni.us/DaggerBrush
   🔷 Angle Shader Brushes: https://geni.us/AngleShaderBrushes
   🔷 Flat Brushes: https://geni.us/AcrylicFlatBrushes
   🔷 Script Liner Brush: https://geni.us/BobScriptLinerBrush
   🔷 Blue Shop Towels: https://geni.us/ScootsShopTowels
_________________________________________________________________

⭐ Colors Used ⭐
   🔷 Titanium White
   🔷 Dioxazine Purple
   🔷 Cobalt Blue
   🔷 Prussian Blue
   🔷 Carbon Black
   🔷 Cadmium Yellow
   🔷 Sap Green
_________________________________________________________________

⭐ Time Stamps/Chapters ⭐

   🔷 00:00 - Bob Ross Landscape Done With Acrylics
   🔷 00:37 - Prepping A Canvas For Acrylics
   🔷 01:10 - Painting Horizon Lines
   🔷 01:43 - Easy Acrylic Clouds
   🔷 03:05 - Painting Background Trees
   🔷 03:47 - Painting Trees & Bushes With Acrylic
   🔷 05:14 - Painting Water Reflections With Acrylic
   🔷 06:03 - How To Paint God Light With Acrylic
   🔷 06:52 - How To Paint Distant Birds
   🔷 07:20 - Adding Water Details
   🔷 08:10 - Easy Landscape Painting Done With Acrylics
_________________________________________________________________

⭐ Helpful Videos ⭐

   🔷 How To Paint Clouds Like Bob Ross With Acrylic Paint: https://youtu.be/-L3vH5lG3RI
   🔷 Top 5 Oil Painting Tools, Tips & Hacks For Beginners!: https://youtu.be/x3oUiPShTxg
   🔷 Best Way To Hold A Palette Knife For Awesome Effects!: https://youtu.be/I5v4bSUzFBI
_________________________________________________________________

⭐ YouTube Video Gear Used ⭐

 💠Production Gear:
   📷 Sony A7Siii Camera: https://geni.us/SonyA7SiiiCamera
   🎙 Boya BY-M1 Lav Microphone: https://geni.us/BoyaBYM1Mic
   💡 Neewer LED Ring Light: https://geni.us/NeewerRingLight18
   💡 Elgato Key Light: https://geni.us/ElgatoKeyLight
   💡 Neewer Bi-Color LED Panels W/ Softboxes: https://geni.us/NeewerBiColorSoft
   📹 Stream Overlays: http://own3d.gg/Wild4Games
   📹 Stream Graphics: https://geni.us/FiverStoreLink

 💠Post-Production Gear:
   🔗 Adobe Premiere Pro (Editing Software): https://geni.us/AdobePremiereProSub
   🎨 Wild Creates Graphics: https://fvrr.co/3nDEkdo
   🎨 Video Graphics: https://1.envato.market/Wild4Games
   🔗 Tubebuddy: https://www.tubebuddy.com/Wild4Games
_________________________________________________________________

⭐ Wild Creates on Social Media ⭐
   🎮 Twitch: https://www.twitch.tv/wild4games
   🐦 Twitter: https://twitter.com/Wild4Games
   📷 Instagram: https://www.instagram.com/wild4games
   📺 YouTube (Art Channel): http://www.youtube.com/WildCreates
   📺 YouTube (Streaming Channel): http://www.youtube.com/Wild4Games
_________________________________________________________________

💸 Support The Channel 💸

Donations are not required but are greatly appreciated! All donations will go to supporting the streams and future videos.

   💸Buy Through Amazon: https://geni.us/AmazonLandingPage
   💸YouTube Channel Members: https://www.youtube.com/channel/UCJ0nGU-oZthfagTyVVXiVQA/join
   💸Subscribe On Twitch: https://www.twitch.tv/products/wild4games/ticket
   💸Donation Support: https://twitch.streamlabs.com/wild4games
_________________________________________________________________
DISCLAIMER: This video and description contains affiliate links, which means that if you click on one of the product links, I’ll receive a small commission at no additional cost to you. This helps support my channel and allows me to continue to make videos like this. Thank you for the support!",Wild Creates,2022-03-05T15:30:05Z,https://i.ytimg.com/vi/LFqd-jj1lQ8/mqdefault.jpg,https://www.youtube.com/watch?v=LFqd-jj1lQ8,9.1,9:06
fmmbzhZVQ4I,Easy Abstract Acrylic Painting for Beginners / Acrylic Painting #shorts #art,"How to paint with Acrylics / Easy Abstract Painting Techniques 

@https://youtube.com/c/AnjalifineartsAbstractArt

Demonstration of very easy and colorful abstract painting with Acrylics and palette knife.

This painting is done using very easy and simple technique for very new to Abstract Art who wants to learn abstract this is as simple as you see! I hope this will be useful for you all.

Thank you everyone for watching and
 supporting my videos with kind comments!

(Making of Easy Abstract Painting just using Palette Knife / Acrylics / Modern Abstract Art)

#youtubeshort
#shorts
#abstractart
#anjalifineartist
#acrylicsabstract 
#youtubeshorts
#abstractartist
#fineartist
#finearts
#demonstrationofabstract
#modernabstractpainting
#painting
#asmr",AnjaliFineArts - AbstractArt,2022-07-12T16:37:23Z,https://i.ytimg.com/vi/fmmbzhZVQ4I/mqdefault.jpg,https://www.youtube.com/watch?v=fmmbzhZVQ4I,0.93,0:56
-eDzk9zo2LA,How to paint a beach!🎨 #easypainting #acrylicpainting #paintingtutorial #beach #art #beginner #easy,,Emily Seilhamer,2023-05-05T17:43:25Z,https://i.ytimg.com/vi/-eDzk9zo2LA/mqdefault.jpg,https://www.youtube.com/watch?v=-eDzk9zo2LA,0.73,0:44
Y0qodvkA4RI,Cactus Sunset Acrylic Painting For Beginners | Simple Acrylic Painting Tutorial #shorts,,AhmadArt,2021-11-23T06:05:29Z,https://i.ytimg.com/vi/Y0qodvkA4RI/mqdefault.jpg,https://www.youtube.com/watch?v=Y0qodvkA4RI,0.43,0:26
yFlTuMjaYpI,Easy Realistic Moon drawing | Easy acrylic painting for beginners,,Ribin rinus,2022-06-09T11:37:16Z,https://i.ytimg.com/vi/yFlTuMjaYpI/mqdefault.jpg,https://www.youtube.com/watch?v=yFlTuMjaYpI,0.83,0:50
InT9_lJFHuM,Everything You Wanted To Know About Acrylic Painting,"#acrylics #acrylicpainting #art #bensound #icky

Comic book creator, movie maker, painter, Dad, and part-time Hobbit living in Franklin, TN
Check out my movie Animal Crackers on Netflix!
ssavaart.com",Scott Christian Sava,2022-05-24T00:14:47Z,https://i.ytimg.com/vi/InT9_lJFHuM/mqdefault.jpg,https://www.youtube.com/watch?v=InT9_lJFHuM,1,1:00
B8i2pwIaTts,Quick and Easy rosebuds🌷 #onestroke #art #shorts,#onestrokearmy #onestrokepainting #onestrokepaintingforbeginners #onestroke #donnadewberry #acrylicpainting #acrylicpaint #acrylicart #learntopaint #onestrokeadvantage,Donna Dewberry,2023-04-05T16:17:19Z,https://i.ytimg.com/vi/B8i2pwIaTts/mqdefault.jpg,https://www.youtube.com/watch?v=B8i2pwIaTts,0.78,0:47
l3PWsPOeJUk,How to Paint Roses for Mother’s Day! 🌹👏 #easypainting #tutorial #beginner #roses #acrylicpainting,,Emily Seilhamer,2023-05-08T17:00:05Z,https://i.ytimg.com/vi/l3PWsPOeJUk/mqdefault.jpg,https://www.youtube.com/watch?v=l3PWsPOeJUk,0.52,0:31
